,seq,pr_station_id,bus_line_no,bus_line_no_seq,station_nm,station_id,mobile_no
875,68782,228000204,24,1,용인터미널,228001552,47634.0
876,68783,228000204,24,2,송담대사거리(경유),277102467,
877,68784,228000204,24,3,라이프아파트,228000664,29457.0
878,68785,228000204,24,4,송담대,228000663,29464.0
879,68786,228000204,24,5,옥현,228000235,29955.0
880,68787,228000204,24,6,평옥,228000234,29956.0
881,68788,228000204,24,7,대촌,228000233,29957.0
882,68789,228000204,24,8,안터입구,228001278,47529.0
883,68790,228000204,24,9,무너머고개,228000232,47292.0
884,68791,228000204,24,10,은화삼입구,228000231,29959.0
885,68792,228000204,24,11,아미원입구,228000230,29961.0
886,68793,228000204,24,12,노루실,228001279,29963.0
887,68794,228000204,24,13,에이스카운티,228003577,56664.0
888,68795,228000204,24,14,베네스타아파트,228001778,47746.0
889,68796,228000204,24,15,천리입구.메종포레스트,228002104,47987.0
890,68797,228000204,24,16,천리신미주아파트,228000228,29967.0
891,68798,228000204,24,17,천리농협.샘골마을,228000227,29969.0
892,68799,228000204,24,18,천리국민주택,228001285,29971.0
893,68800,228000204,24,19,신창,228000226,29973.0
894,68801,228000204,24,20,신창.덕성2리휴게소,228000225,29975.0
895,68802,228000204,24,21,덕성리삼배울,228000224,29977.0
896,68803,228000204,24,22,덕성리세라믹,228000223,29979.0
897,68804,228000204,24,23,덕성1리,228000222,29981.0
898,68805,228000204,24,24,시미곡,228000221,29983.0
899,68806,228000204,24,25,시미1리남진말,228000220,29985.0
900,68807,228000204,24,26,미룡마을입구,228000219,29987.0
901,68808,228000204,24,27,마니커입구삼거리,228003593,56691.0
902,68809,228000204,24,28,화산리입구,228001286,29989.0
903,68810,228000204,24,29,송전터미널,228000218,29991.0
904,68811,228000204,24,30,창리,228000068,47239.0
905,68812,228000204,24,31,월곡,228000067,47567.0
906,68813,228000204,24,32,남곡사거리,228001636,47515.0
907,68814,228000204,24,33,당골마을.다루,228000120,47181.0
908,68815,228000204,24,34,창동,228000119,47267.0
909,68816,228000204,24,35,황금슈퍼,228001513,47133.0
910,68817,228000204,24,36,선한사마리아원,228001637,47514.0
911,68818,228000204,24,37,방축,228000041,47251.0
912,68819,228000204,24,38,방축동,228000040,47215.0
913,68820,228000204,24,39,방아리.중복동,228001594,47128.0
914,68821,228000204,24,40,중복동,228000038,47111.0
915,68822,228000204,24,41,후촌,228000117,47182.0
916,68823,228000204,24,42,오목재,228000116,47100.0
917,68824,228000204,24,43,남사(내기),228001471,47664.0
918,68825,228000204,24,44,내기,228000022,47112.0
919,68826,228000204,24,45,봉무3리,228000021,47570.0
920,68827,228000204,24,46,도장,228000020,47211.0
921,68828,228000204,24,47,극락정사,228001472,47374.0
922,68829,228000204,24,48,산정동,228000019,47212.0
923,68830,228000204,24,49,금호전기,228001473,47373.0
924,68831,228000204,24,50,삼인동입구,228001474,47168.0
925,68832,228000204,24,51,북2리,228000066,47240.0
926,68833,228000204,24,52,한화리조트,228001496,47395.0
927,68834,228000204,24,53,한원IC,233000169,37403.0
928,68835,228000204,24,54,장지동,233000168,36808.0
929,68836,228000204,24,55,장지동,233000167,36809.0
930,68837,228000204,24,56,롯데캐슬.제일풍경채,233003130,55526.0
931,68838,228000204,24,57,자이파밀리에,233003131,55527.0
932,68839,228000204,24,58,꽃가마약수터,233000166,36810.0
933,68840,228000204,24,59,롯데오산물류,223000209,24197.0
934,68841,228000204,24,60,락원식당앞,223000210,24196.0
935,68842,228000204,24,61,오산장례식장,223000465,24141.0
936,68843,228000204,24,62,문화예술회관.고용복지플러스센터,223000029,24162.0
937,68844,228000204,24,63,종합운동장,223000028,24149.0
938,68845,228000204,24,64,팔각정,223000027,24122.0
939,68846,228000204,24,65,오산장터,223000051,24120.0
940,68847,228000204,24,66,오색시장,223000101,24119.0
941,68848,228000204,24,67,중원사거리,223000135,24112.0
942,68849,228000204,24,68,오산역환승센터1층(1승강장),223000537,24464.0
943,68850,228000204,24,69,오산역.오산터미널,223000126,24107.0
944,68851,228000204,24,70,중원사거리,223000125,24108.0
945,68852,228000204,24,71,오색시장,223000141,24179.0
946,68853,228000204,24,72,재래시장앞,223000124,24109.0
947,68854,228000204,24,73,오산장터,223000123,24110.0
948,68855,228000204,24,74,시민회관.운동장,223000030,24129.0
949,68856,228000204,24,75,희망아파트앞,223000134,24148.0
950,68857,228000204,24,76,문화예술회관.고용복지플러스센터,223000133,24159.0
951,68858,228000204,24,77,오산장례식장,223000464,24138.0
952,68859,228000204,24,78,락원식당앞,223000188,24185.0
953,68860,228000204,24,79,롯데오산물류,223000189,24192.0
954,68861,228000204,24,80,꽃가마약수터,233001323,36943.0
955,68862,228000204,24,81,자이파밀리에,233003163,55560.0
956,68863,228000204,24,82,롯데캐슬.제일풍경채,233003164,55561.0
957,68864,228000204,24,83,장지동,233001320,37508.0
958,68865,228000204,24,84,한원IC,233001321,36945.0
959,68866,228000204,24,85,동막,228000064,47568.0
960,68867,228000204,24,86,북2리,228000063,47242.0
961,68868,228000204,24,87,삼인동입구,228001468,47169.0
962,68869,228000204,24,88,금호전기,228001469,47376.0
963,68870,228000204,24,89,산정동,228000018,47213.0
964,68871,228000204,24,90,극락정사,228001470,47375.0
965,68872,228000204,24,91,도장,228000017,47571.0
966,68873,228000204,24,92,봉무3리,228000016,47214.0
967,68874,228000204,24,93,내기,228000015,47113.0
968,68875,228000204,24,94,남사,228001358,29364.0
969,68876,228000204,24,95,오목재,228000115,47101.0
970,68877,228000204,24,96,후촌,228000114,47183.0
971,68878,228000204,24,97,중복동,228000045,47109.0
972,68879,228000204,24,98,중복상회,228000044,47187.0
973,68880,228000204,24,99,방아2리,228000043,47249.0
974,68881,228000204,24,100,방축,228000042,47250.0
