표준정류장ID,시군명,정류소명,정류소영문명,정류소번호,중앙차로여부,관할관청,위치,WGS84위도,WGS84경도,모바일정류장ID,이비카드정류장ID
277101618,화성시,고온리종점(경유),,,,,,37.0384,126.7502167,,7101618.0
277101619,화성시,호곡리(경유),,,,,,37.1183833,126.77396670000002,,
277101636,화성시,기흥동탄IC(경유),,,,,,37.2166167,127.0969833,,
277101644,화성시,발안삼거리.바다마트(경유),,,,,,37.1367833,126.9086333,,
277101677,화성시,원안1리(경유),,,,,,37.1038,126.7784167,,
277101678,화성시,점촌교차로(경유),,,,,,37.1418,126.91685,,
277101693,화성시,가재교차로(경유),,,,,,37.1491167,126.922,,
277101700,화성시,숙곡교차로(경유),,,,,,37.2546667,126.8987333,,
277101708,화성시,왕림교차로(경유),,,,,,37.1929,126.9393333,,
277101732,화성시,가재교차로(경유),,,,,,37.149,126.9223,,
277101750,화성시,팔탄입구삼거리(경유),,,,,,37.1636167,126.93151670000002,,
277101757,화성시,뒷말(경유),,,,,,37.07975,126.7724167,,7101757.0
277101775,화성시,팔탄입구삼거리(경유),,,,,,37.1636,126.9317833,,
277101785,화성시,황계동(경유),,,,,,37.2207167,127.02003329999998,,7101785.0
277101822,화성시,영남교(경유),,,,,,37.20715,126.81935,,7101822.0
277101836,화성시,병점정형외과(경유),,,,,,37.20605,127.0366167,,7101836.0
277101841,화성시,매송지하차도(경유),,,,,,37.2806333,126.8849667,,
277101878,화성시,숙곡교차로(경유),,,,,,37.2545833,126.89891670000002,,
277101884,화성시,기흥동탄TG(경유),,,,,,37.2169833,127.0917,,
277101890,화성시,쌍학리(경유),,,,,,37.2385333,126.9001,,
277101908,화성시,기흥동탄TG(경유),,,,,,37.21655,127.09156670000002,,
277101927,화성시,봉담IC교차로(경유),,,,,,37.22935,126.95723329999998,,7101927.0
277101956,화성시,구장리(경유),,,,,,37.1642333,126.9003,,
277101969,화성시,덕다리(경유),,,,,,37.04975,126.8332833,,
277101972,화성시,문학4리(경유),,,,,,37.15135,126.9752833,,
277101997,화성시,궁평1교차로(경유),,,,,,37.1183333,126.68921670000002,,
277102010,화성시,장짐삼거리(경유),,,,,,37.1397,126.9000833,,7102010.0
277102014,화성시,반정동(경유),,,,,,37.2327667,127.0364,,7102014.0
277102040,화성시,점촌교차로(경유),,,,,,37.1415833,126.91701670000002,,7102040.0
