장소명	위도	경도
마니커입구삼거리	37.150824	127.204074
자이파밀리에	37.159393	127.105963
롯데캐슬.제일풍경채	37.157945	127.10897
에이스카운티	37.202422	127.209194
백학IC(경유)	37.225456	126.879367
화성비봉TG(경유)	37.244784	126.886726
샘내IC(경유)	37.243466	126.936394
수원역.노보텔수원	37.268432	126.999597
양노IC(경유)	37.232752	126.86221
남양뉴타운입구	37.214858	126.832083
유일병원	37.217442	126.832319
독정삼거리	37.070121	126.849147
향남부영6단지	37.114729	126.909363
성문	37.102196	126.864779
궁평리(경유)	37.100876	126.698817
매향리(경유)	37.083877	126.720127
전곡산업단지	37.185647	126.67286
수영리검사소	37.232533	126.968467
수원역.역전시장	37.2653914	127.0001027
서울진입(경유)	37.432107	127.067977
전원마을.남태령역2번출구(중)	37.465952	126.987949
사당IC(경유)	37.469822	126.985966
사당역(중)	37.474681	126.981797
사당역10번출구(경유)	37.478315	126.981727
사당역4번출구	37.475332	126.98157
남현동(경유)	37.470417	126.983847
과천진입(경유)	37.457985	126.988526
우미제일.전하리교회	37.212485	127.079351
화성운수차고지	37.155864	127.099265
청계산입구역(경유)	37.448032	127.054056
양재IC(경유)	37.463362	127.039795
서초IC(경유)	37.483376	127.025889
KCC사옥	37.503253	127.020187
신논현역.영신빌딩	37.502583	127.02521
강남역10번출구(경유)	37.498769	127.02703
신분당선강남역(중)	37.496202	127.02854
우성아파트앞사거리(경유)	37.493003	127.029939
우성아파트(중)	37.49162	127.030557
뱅뱅사거리(중)	37.487664	127.032457
양재역.서초문화예술회관(중)	37.48299	127.035873
교육개발원입구(중)	37.47886	127.038496
시민의숲.양재꽃시장	37.470962	127.038495
성남진입(경유)	37.431129	127.068787
C1.지원시설	37.211134	127.092694
반도4차.동탄4동복지센터	37.200706	127.115377
서울시인재개발원입구	37.483291	127.022133
남부터미널	37.484716	127.015546
서울교대사거리	37.487651	127.015008
지하철3호선교대역	37.491752	127.013871
교대역	37.494127	127.01475
서초동유원아파트	37.495775	127.01947
롯데칠성	37.496895	127.023987
삼성화재서초타워(경유)	37.494472	127.02925
현대다이모스	37.21777	127.103481
동원.다원중	37.212027	127.103213
사당역사거리(경유)	37.47653	126.981614
사당역9번출구앞	37.477973	126.981377
파크자이1차	37.201416	127.049474
파크자이2차	37.201616	127.04681
동탄행복마을푸르지오아파트	37.209932	127.119052
A95.A97	37.157345	127.111444
호반6차	37.157377	127.112597
동탄2아이파크2단지	37.160046	127.120058
동탄2아이파크1단지	37.1616	127.119258
레이크반도9차	37.162417	127.116222
서연중.동탄8고	37.161993	127.11144
금호어울림레이크	37.162473	127.108718
롯데.호반6차	37.156786	127.11116
롤링힐스	37.192347	126.839042
역삼동.우성아파트(경유)	37.492721	127.030119
뱅뱅사거리(경유)	37.489528	127.031617
판교진입(경유)	37.395139	127.10298
판교출입(경유)	37.395553	127.103221
반도10차	37.167335	127.127213
서희스타힐스.호수부영1차	37.172186	127.117439
중흥클래스에듀	37.173287	127.113783
왕배초.금강	37.181498	127.111362
금강.왕배초	37.180495	127.111168
호수부영1차.서희스타힐스	37.171871	127.117212
세정초	37.167706	127.124852
반포IC(경유)	37.503456	127.018572
한남IC(경유)	37.521971	127.017711
한남1고가차도(경유)	37.541341	127.003055
남산1호터널TG(경유)	37.555853	126.992886
서울백병원.국가인권위.안중근활동터(중)	37.564367	126.987927
을지로입구.시청입구	37.566214	126.981025
시청교차로(경유)	37.563972	126.976861
신한은행본점	37.561266	126.975578
숭례문(중)	37.558377	126.973683
서울역버스환승센터(중)	37.555629	126.972808
서울역교차로(경유)	37.557255	126.972615
숭례문교차로(경유)	37.560419	126.975757
남대문로3가(경유)	37.561982	126.981252
명동국민은행앞	37.564612	126.982449
남대문세무서.서울백병원(중)	37.565127	126.987576
상신초교입구	37.098644	126.902312
제암교차로(경유)	37.117753	126.901601
덕우공단입구	37.160721	126.915514
청호인재개발원	37.161597	126.911903
소동촌	37.160775	126.907972
리베라CC(경유)	37.190643	127.098739
동탄초교(경유)	37.189408	127.092732
반송초교사거리(경유)	37.190863	127.068677
화성벌말초(경유)	37.20275	127.038669
목동초.베라체	37.190179	127.124575
이편한동탄	37.190205	127.12605
목동중.금강4차	37.189183	127.127076
한신더휴	37.186628	127.126384
호반베르디움5차	37.183871	127.125211
오산동푸르지오후문	37.158957	127.08078
르파비스	37.183494	127.125362
경남아너스빌	37.18646	127.126512
금강4차.목동중	37.188953	127.127316
베라체.이편한	37.19018	127.12659
도이교차로(경유)	37.134973	126.930919
동오사거리(경유)	37.13107	126.953067
길성리(경유)	37.124729	126.97433
향남TG(경유)	37.126565	126.995862
서오산IC(경유)	37.176384	126.99849
오산휴게소(경유)	37.177813	127.037034
한일타운아파트(경유)	37.200233	127.037757
양우내안에(경유)	37.203088	126.823176
남양중고교입구(경유)	37.204271	126.82226
북양리교차로(경유)	37.21605	126.832238
수영오거리(경유)	37.237655	126.961522
안녕삼거리(경유)	37.205564	127.016822
융건릉(경유)	37.206966	126.98822
자연앤자이아파트.중흥S클래스	37.28413	127.054571
중흥S클래스.자연앤자이아파트	37.283914	127.055094
신논현역.BSX빌딩	37.501026	127.025832
화성시남부복지관	37.127391	126.933279
황새말앞	37.149167	126.982337
보건지소앞	37.168846	126.985682
제이마트앞	37.162672	127.013596
오산역환승센터2층(2승강장)	37.146317	127.066681
용수리	37.168716	126.999899
북양3리	37.208599	126.859129
골재장	37.200407	126.869002
향남주공1단지	37.119616	126.913455
