버스노선고유ID,종점번호,버스번호,오류사항
233000040,44,6(시내),
233000131,32,6001(광역),
233000136,35,6002(광역),
233000142,30,6002-1(광역),
233000266,32,6003(광역),
234000314,29,6004(광역),
241488002,30,6-1(시내),마을 -> 시내
233000043,46,6-2(일반),
233000045,40,6-3(시내),마을 -> 시내
241205001,30,6-3(마을),
241491005,14,66(마을),
241491003,18,66A(마을),
233000058,50,7(시내),마을 -> 시내
241335006,28,7(마을),
241205020,14,709(마을),지도상에 표시된 번호 이상
241205021,11,709-1(마을),지도상에 표시된 번호 이상
233000056,25,7-1(시내),마을 -> 시내
241205003,35,7-1(마을),신미주아파트(회차지점) 위치가 오점임. 너무 떨어져있음.
233000252,33,710(시내),경남아스너빌 위치가 오점임. 너무 떨어져있음.
233000128,25,712(시내),
234000068,70,720-3(시내),
234001568,40,721(시내),
233000130,41,73-1(시내),
241205013,15,76(마을),
241205014,25,77(마을),지도상에 표시된 번호 이상
241205015,35,78(마을),
241205016,45,79(마을),
233000046,12,8(시내),
241205017,56,80(마을),
241205018,76,81(마을),
233000057,12,8-1(시내),지도상에 표시된 번호 이상
233000139,37,8155(광역),서울진입(미정차) 위치가 오점임. 경부고속도로가 아닌 남태령역 정류장 바로 밑에 있어야 함. 이 버스는 사당역에서 회차하기 때문에 경부고속도로를 지날 수 없음.
233000258,38,8156(광역),8155 버스와 같은 문제점 지님.
233000269,24,"8156(급행, 광역)",
233000049,12,8-2(시내),지도상에 표시된 번호 이상
233000047,20,8-3(시내),지도상에 표시된 번호 이상
233000273,47,8471(광역),
233000272,46,8472(광역),
233000135,36,8501(광역),
