버스번호,노선고유ID/종점번호,
2,233000013/17,
20,233000079/20,
20(마산포),241319002/16,
20(어도동내),241319003/17,
20(어도펜션),241319004/17,
200,233000268/37,이탈발생했어요(경남아너스빌)
2000A,233000263/50,
2000B,233000264/39,
201,233000141/27,
20-1(고모리),241319035/26,
20-1(독지리),241319031/11,
20-1(백곡리),241319029/7,
20-1(홍법리),241319030/26,
202,243000114/25,
20-2(용포.고정),241319027/16,
20-2(용포.고정.천등),241319026/16,
"20-2(용포,화석지)",241319024/16,
"20-2(천등,고정)",241319025/17,
"20-2(천등,화석지)",241319028/17,
203,233000254/38,
20-3(당성왕모대),241319033/28,
"20-3(쌍송,대광A)",241319034/58,
20-3(왕모대시청),241319032/18,
20-4A,241319043,노선 짤렸어요(대광아파트까지 가야됨)
20-4B,241319044,노선 짤렸어요(대광아파트까지 가야됨)
205,233000281/40,
21,233000080/47,
21(마을),241483018/43,
2-1번,233000052/17,
22,241483019/78,
2-2번,233000035/15,
22-2번,241483012/37,
22-3(신경대),241483021/52,
22-3(장전),241483020/28,
23,233000085/10,
2-3번,233000030/21,
24,233000081/17,
24(오산-용인),228000204/68,
2-4번,233000029/12,
25,233000094/5,
26,233000095/55,
27,233000096/12,
27(마을),241324002/26,이탈발생했어요(신미주아파트)
27-1번,241324003/23,이탈발생했어요(신미주아파트)
27-2번,241324004/26,이탈발생했어요(신미주아파트)
28,233000267/10,
